index,seq_max,seq_last,future_max,down_amount,HUBROOMTOTAL,M16A_3F_STORAGE_UTIL,CD_M163FSTORAGEUTIL,M16A_3F_CMD
3146,362.0,281.0,294.0,68.0,719.0,207.0,4.0,224.0
3147,362.0,275.0,294.0,68.0,708.0,208.0,4.0,217.0
3148,362.0,277.0,294.0,68.0,712.0,208.0,4.0,223.0
3149,362.0,289.0,294.0,68.0,710.0,208.0,4.0,236.0
3150,362.0,285.0,294.0,68.0,701.0,208.0,3.0,228.0
3151,352.0,285.0,294.0,58.0,707.0,208.0,4.0,222.0
3152,352.0,284.0,294.0,58.0,691.0,208.0,3.0,220.0
3153,342.0,287.0,294.0,48.0,680.0,206.0,5.0,227.0
3154,342.0,294.0,291.0,51.0,689.0,207.0,4.0,231.0
3155,342.0,278.0,291.0,51.0,699.0,207.0,4.0,212.0
3156,340.0,276.0,291.0,49.0,696.0,207.0,4.0,217.0
3157,340.0,278.0,291.0,49.0,698.0,207.0,4.0,223.0
3158,330.0,278.0,291.0,39.0,693.0,208.0,2.0,213.0
3159,330.0,274.0,291.0,39.0,687.0,208.0,4.0,210.0
3160,323.0,268.0,298.0,25.0,691.0,208.0,2.0,211.0
3161,310.0,275.0,299.0,11.0,701.0,208.0,2.0,206.0
3258,359.0,304.0,298.0,61.0,769.0,210.0,0.0,226.0
3259,359.0,298.0,291.0,68.0,768.0,210.0,0.0,226.0
3260,359.0,289.0,291.0,68.0,765.0,210.0,0.0,216.0
3261,359.0,291.0,276.0,83.0,753.0,210.0,0.0,215.0
3262,359.0,276.0,262.0,97.0,728.0,210.0,0.0,215.0
3263,359.0,262.0,247.0,112.0,723.0,210.0,0.0,208.0
3264,359.0,247.0,267.0,92.0,715.0,210.0,0.0,198.0
3265,359.0,236.0,275.0,84.0,704.0,210.0,0.0,182.0
3266,359.0,226.0,282.0,77.0,708.0,210.0,1.0,185.0
3267,359.0,220.0,282.0,77.0,708.0,210.0,1.0,186.0
3268,359.0,205.0,282.0,77.0,674.0,210.0,1.0,170.0
3269,359.0,205.0,289.0,70.0,682.0,210.0,1.0,178.0
3270,359.0,210.0,292.0,67.0,707.0,210.0,1.0,184.0
3271,359.0,213.0,292.0,67.0,710.0,210.0,1.0,178.0
3272,359.0,224.0,292.0,67.0,715.0,209.0,1.0,194.0
3273,359.0,246.0,292.0,67.0,719.0,210.0,1.0,211.0
3274,359.0,267.0,296.0,63.0,734.0,209.0,1.0,228.0
3275,359.0,275.0,296.0,63.0,745.0,209.0,1.0,229.0
3457,348.0,304.0,291.0,57.0,539.0,206.0,5.0,233.0
3458,344.0,291.0,290.0,54.0,542.0,207.0,4.0,226.0
3459,339.0,282.0,290.0,49.0,550.0,207.0,4.0,219.0
3460,339.0,277.0,290.0,49.0,534.0,207.0,4.0,214.0
3461,339.0,289.0,290.0,49.0,547.0,206.0,6.0,224.0
3462,339.0,290.0,289.0,50.0,542.0,206.0,5.0,216.0
3463,339.0,288.0,289.0,50.0,559.0,206.0,7.0,217.0
3464,339.0,289.0,287.0,52.0,564.0,206.0,7.0,221.0
3465,339.0,287.0,282.0,57.0,562.0,206.0,6.0,222.0
3466,339.0,274.0,282.0,57.0,556.0,206.0,7.0,207.0
3467,339.0,273.0,282.0,57.0,546.0,205.0,8.0,207.0
3468,339.0,271.0,282.0,57.0,532.0,207.0,5.0,203.0
3469,322.0,279.0,282.0,40.0,542.0,207.0,5.0,216.0
3470,322.0,282.0,281.0,41.0,531.0,206.0,5.0,215.0
